target,fold,feature,ori_mean,ori_std,raw_mean,raw_std,filt_mean,filt_std,n_ori,n_raw,n_filt,pct_kept
temp_max,1,T-4,17.0486,7.3152,20.0768,9.8069,20.077,9.6242,1309,1400,1327,94.8
temp_max,1,T-3,17.035,7.3222,15.6161,12.2755,15.55,12.1416,1309,1400,1327,94.8
temp_max,1,T-2,17.0252,7.3305,19.3551,8.8547,19.3453,8.6872,1309,1400,1327,94.8
temp_max,1,T-1,17.0163,7.338,16.9952,10.7097,16.9389,10.5674,1309,1400,1327,94.8
temp_max,1,T,17.0095,7.343,17.8072,10.713,17.7589,10.5301,1309,1400,1327,94.8
temp_max,1,T+1 (target),16.9993,7.3496,18.0144,8.5624,17.9706,8.3471,1309,1400,1327,94.8
temp_max,2,T-4,15.8846,7.3393,12.7249,9.0518,12.4948,8.7836,1309,1400,1331,95.1
temp_max,2,T-3,15.8837,7.3477,15.4277,8.1097,15.3047,7.8402,1309,1400,1331,95.1
temp_max,2,T-2,15.8837,7.352,15.4411,8.4255,15.3075,8.2382,1309,1400,1331,95.1
temp_max,2,T-1,15.8824,7.3564,14.18,9.471,13.9932,9.2431,1309,1400,1331,95.1
temp_max,2,T,15.8849,7.3562,14.2137,7.9576,14.0395,7.7516,1309,1400,1331,95.1
temp_max,2,T+1 (target),15.8883,7.3584,14.3786,7.8761,14.2108,7.5872,1309,1400,1331,95.1
temp_max,3,T-4,17.3041,7.1964,12.7071,10.1538,12.545,9.945,1309,1400,1334,95.3
temp_max,3,T-3,17.3002,7.2027,15.2011,9.4101,15.1398,9.1733,1309,1400,1334,95.3
temp_max,3,T-2,17.293,7.2108,16.1622,9.9651,16.0123,9.7592,1309,1400,1334,95.3
temp_max,3,T-1,17.2887,7.2164,15.2781,10.7647,15.1668,10.6074,1309,1400,1334,95.3
temp_max,3,T,17.284,7.2215,12.9478,9.867,12.7737,9.5958,1309,1400,1334,95.3
temp_max,3,T+1 (target),17.2811,7.2253,17.7219,9.5655,17.6091,9.3544,1309,1400,1334,95.3
temp_max,4,T-4,16.0782,7.3434,14.29,10.7299,14.1618,10.542,1309,1400,1329,94.9
temp_max,4,T-3,16.0569,7.3392,14.856,10.0614,14.7288,9.8895,1309,1400,1329,94.9
temp_max,4,T-2,16.0416,7.337,17.1665,10.8451,17.0231,10.6565,1309,1400,1329,94.9
temp_max,4,T-1,16.0229,7.3361,14.6925,11.8028,14.5145,11.6409,1309,1400,1329,94.9
temp_max,4,T,16.0063,7.3372,14.8631,12.5573,14.721,12.4346,1309,1400,1329,94.9
temp_max,4,T+1 (target),15.9937,7.337,14.0874,11.1845,13.9699,11.069,1309,1400,1329,94.9
temp_max,5,T-4,16.5584,7.3154,17.6611,10.0409,17.6766,9.8565,1309,1400,1329,94.9
temp_max,5,T-3,16.5694,7.3299,17.9349,10.054,17.9605,9.9206,1309,1400,1329,94.9
temp_max,5,T-2,16.5808,7.3383,18.719,10.198,18.6648,9.9955,1309,1400,1329,94.9
temp_max,5,T-1,16.5892,7.3493,14.6313,10.5573,14.5859,10.359,1309,1400,1329,94.9
temp_max,5,T,16.5982,7.354,18.4535,10.6683,18.4863,10.5082,1309,1400,1329,94.9
temp_max,5,T+1 (target),16.6088,7.3569,20.194,11.0714,20.2186,10.9159,1309,1400,1329,94.9
temp_max,6,T-4,16.874,7.4151,16.7404,10.7895,16.6872,10.6265,1310,1400,1329,94.9
temp_max,6,T-3,16.8624,7.4258,17.5454,10.8413,17.5096,10.7031,1310,1400,1329,94.9
temp_max,6,T-2,16.8492,7.4364,13.1845,10.3763,13.1125,10.1849,1310,1400,1329,94.9
temp_max,6,T-1,16.8369,7.4438,19.7333,10.9578,19.6829,10.8097,1310,1400,1329,94.9
temp_max,6,T,16.8255,7.4504,17.8488,11.3308,17.8017,11.2017,1310,1400,1329,94.9
temp_max,6,T+1 (target),16.8145,7.4576,15.8114,11.0975,15.7282,10.9151,1310,1400,1329,94.9
temp_max,7,T-4,15.6788,7.1385,16.5827,9.3435,16.544,9.1408,1310,1400,1332,95.1
temp_max,7,T-3,15.6711,7.1448,18.1877,10.9976,18.21,10.8433,1310,1400,1332,95.1
temp_max,7,T-2,15.6655,7.1499,17.5542,10.9304,17.5854,10.8033,1310,1400,1332,95.1
temp_max,7,T-1,15.6587,7.1538,15.8699,11.4728,15.9498,11.3709,1310,1400,1332,95.1
temp_max,7,T,15.657,7.1575,16.3894,9.5497,16.3444,9.3869,1310,1400,1332,95.1
temp_max,7,T+1 (target),15.6566,7.161,14.2378,10.8177,14.2896,10.6884,1310,1400,1332,95.1
temp_max,8,T-4,17.0223,7.4426,16.3918,10.9507,16.4227,10.8319,1310,1400,1332,95.1
temp_max,8,T-3,17.0176,7.4495,19.2896,10.7518,19.3506,10.5797,1310,1400,1332,95.1
temp_max,8,T-2,17.0141,7.4558,17.4153,10.4422,17.4447,10.3091,1310,1400,1332,95.1
temp_max,8,T-1,17.0128,7.4631,20.6651,10.2033,20.7368,10.0606,1310,1400,1332,95.1
temp_max,8,T,17.0107,7.4664,14.9335,11.094,14.9112,10.9316,1310,1400,1332,95.1
temp_max,8,T+1 (target),17.0124,7.4676,15.8379,10.7042,15.9034,10.5992,1310,1400,1332,95.1
temp_max,9,T-4,15.9332,7.191,17.9328,9.6203,17.8644,9.4079,1310,1400,1324,94.6
temp_max,9,T-3,15.9162,7.1895,17.1556,10.0055,17.0918,9.8263,1310,1400,1324,94.6
temp_max,9,T-2,15.9051,7.1897,19.1246,11.0333,19.1119,10.8948,1310,1400,1324,94.6
temp_max,9,T-1,15.8953,7.1923,12.669,9.3902,12.5351,9.1455,1310,1400,1324,94.6
temp_max,9,T,15.8831,7.1914,13.8878,10.7299,13.7566,10.5156,1310,1400,1324,94.6
temp_max,9,T+1 (target),15.867,7.1877,16.5444,9.7597,16.4553,9.5302,1310,1400,1324,94.6
temp_max,10,T-4,16.4656,7.3734,13.5223,10.0667,13.3844,9.8297,1310,1400,1332,95.1
temp_max,10,T-3,16.4774,7.3799,17.7804,9.8228,17.6352,9.5609,1310,1400,1332,95.1
temp_max,10,T-2,16.4892,7.3829,13.8507,10.1695,13.7132,9.9459,1310,1400,1332,95.1
temp_max,10,T-1,16.4981,7.3841,15.5519,10.4327,15.4002,10.2782,1310,1400,1332,95.1
temp_max,10,T,16.5079,7.3869,15.0273,10.4076,14.9577,10.2388,1310,1400,1332,95.1
temp_max,10,T+1 (target),16.5227,7.3911,14.8549,10.2282,14.761,10.0276,1310,1400,1332,95.1
temp_min,1,T-4,8.7314,4.9431,10.2447,6.816,10.4503,6.5862,1309,1400,1324,94.6
temp_min,1,T-3,8.7246,4.949,8.5756,6.4511,8.7494,6.2449,1309,1400,1324,94.6
temp_min,1,T-2,8.717,4.9521,11.0725,6.3957,11.2426,6.1743,1309,1400,1324,94.6
temp_min,1,T-1,8.7106,4.9558,11.2746,6.7172,11.4889,6.4815,1309,1400,1324,94.6
temp_min,1,T,8.7051,4.9608,8.8371,7.2509,9.0737,7.0149,1309,1400,1324,94.6
temp_min,1,T+1 (target),8.6959,4.9675,10.1552,7.5602,10.3829,7.3571,1309,1400,1324,94.6
temp_min,2,T-4,7.8863,5.0721,6.4548,6.674,6.505,6.504,1309,1400,1327,94.8
temp_min,2,T-3,7.8821,5.0761,6.8601,6.6825,6.8972,6.5802,1309,1400,1327,94.8
temp_min,2,T-2,7.8856,5.0779,6.3752,6.9932,6.4001,6.8513,1309,1400,1327,94.8
temp_min,2,T-1,7.8856,5.0801,7.0183,5.988,7.09,5.8365,1309,1400,1327,94.8
temp_min,2,T,7.8853,5.0821,9.1183,6.5469,9.1955,6.3749,1309,1400,1327,94.8
temp_min,2,T+1 (target),7.8866,5.0865,7.9336,6.2139,7.9846,6.0949,1309,1400,1327,94.8
temp_min,3,T-4,8.7523,4.914,10.6118,6.0284,10.763,5.8072,1309,1400,1330,95.0
temp_min,3,T-3,8.7485,4.9189,8.1287,7.1153,8.267,6.9362,1309,1400,1330,95.0
temp_min,3,T-2,8.7455,4.9205,8.0658,7.0957,8.185,6.9829,1309,1400,1330,95.0
temp_min,3,T-1,8.7413,4.9242,6.6491,7.1823,6.7836,7.0456,1309,1400,1330,95.0
temp_min,3,T,8.7371,4.929,8.0662,6.6189,8.2053,6.4373,1309,1400,1330,95.0
temp_min,3,T+1 (target),8.7354,4.9326,11.3981,5.9539,11.5629,5.7184,1309,1400,1330,95.0
temp_min,4,T-4,8.0365,5.0536,8.0142,5.0497,8.0833,4.8866,1309,1400,1330,95.0
temp_min,4,T-3,8.0293,5.0553,7.5405,6.1679,7.6155,6.0054,1309,1400,1330,95.0
temp_min,4,T-2,8.0242,5.0533,9.2143,6.3766,9.3391,6.2099,1309,1400,1330,95.0
temp_min,4,T-1,8.0124,5.0541,5.8892,7.0725,5.966,6.9667,1309,1400,1330,95.0
temp_min,4,T,8.0001,5.0554,6.3408,6.2193,6.3993,6.0775,1309,1400,1330,95.0
temp_min,4,T+1 (target),7.9892,5.0577,9.6105,5.9932,9.6828,5.8302,1309,1400,1330,95.0
temp_min,5,T-4,8.2369,4.8992,8.0079,5.8776,8.0895,5.7669,1309,1400,1329,94.9
temp_min,5,T-3,8.2399,4.9053,8.7261,5.4975,8.809,5.4015,1309,1400,1329,94.9
temp_min,5,T-2,8.2475,4.9074,8.7388,5.1039,8.7725,4.9771,1309,1400,1329,94.9
temp_min,5,T-1,8.2497,4.9132,9.0854,6.8521,9.221,6.7098,1309,1400,1329,94.9
temp_min,5,T,8.2552,4.9185,7.9757,6.3044,8.0443,6.1414,1309,1400,1329,94.9
temp_min,5,T+1 (target),8.2628,4.9212,10.2225,7.2968,10.3254,7.1668,1309,1400,1329,94.9
temp_min,6,T-4,8.5566,5.0599,9.5933,7.1213,9.7727,6.9563,1310,1400,1326,94.7
temp_min,6,T-3,8.5485,5.065,11.3317,6.1499,11.4682,5.9896,1310,1400,1326,94.7
temp_min,6,T-2,8.5418,5.0677,11.1955,6.9627,11.3489,6.7887,1310,1400,1326,94.7
