dataset,target,model,n_folds,n_samples,MAE,RMSE,R2
seattle,temp_max,arima,10,1455,2.5453858565234437,3.283611480325467,0.8004193815636101
seattle,temp_max,svr,10,1455,3.33910461819049,4.346426273523068,0.6503130156492506
seattle,temp_max,random_forest,10,1455,2.588601649307303,3.2877799255540023,0.7999123368395444
seattle,temp_max,lightgbm,10,1455,3.242762086874841,4.034044616671102,0.6987713831424897
seattle,temp_max,lstm,10,1455,3.0251968546462633,3.8308545619103684,0.7283522189138414
seattle,temp_max,gru,10,1455,3.1633434120076633,3.9773584163080358,0.7071776033259646
seattle,temp_max,tcn,10,1455,2.4407110054417163,3.0979846291473394,0.8223466707968479
seattle,temp_min,arima,10,1455,1.7474971816809113,2.239924864798178,0.8008247464485172
seattle,temp_min,svr,10,1455,2.211352093064088,2.883643747838369,0.6698953147949047
seattle,temp_min,random_forest,10,1455,1.7648543025210144,2.2438156419422355,0.800132205745738
seattle,temp_min,lightgbm,10,1455,2.2259078776959296,2.7488704672746116,0.700030549163718
seattle,temp_min,lstm,10,1455,2.2896255956830847,2.9399215988561114,0.6568847863749944
seattle,temp_min,gru,10,1455,2.2252535108458957,2.854472671664096,0.6765402428596613
seattle,temp_min,tcn,10,1455,1.7043210515195562,2.1659964780820853,0.8137552800082517
seoul,temp_max,arima,10,7600,2.268907480340255,2.955264872628573,0.11323783794996178
seoul,temp_max,svr,10,7600,2.0009808951929995,2.4759935856535478,0.3775372589622863
seoul,temp_max,random_forest,10,7600,2.0281483125184714,2.535494216583423,0.3472609743717926
seoul,temp_max,lightgbm,10,7600,2.1203525853909944,2.607084510395878,0.30988010272074873
seoul,temp_max,lstm,10,7600,2.131406071331548,2.6195083604430165,0.30328700970291955
seoul,temp_max,gru,10,7600,2.097468303776101,2.572052853902182,0.3283019184498748
seoul,temp_max,tcn,10,7600,1.9759818441742345,2.447420005742124,0.3918211097885036
seoul,temp_min,arima,10,7600,1.2291717066513865,1.6148413216761004,0.5718442613973446
seoul,temp_min,svr,10,7600,1.2080596362164149,1.555715910295082,0.6026230720569699
seoul,temp_min,random_forest,10,7600,1.1957942158548456,1.5342203098144291,0.6135284609723164
seoul,temp_min,lightgbm,10,7600,1.3109337554730867,1.661454004599675,0.5467699390656149
seoul,temp_min,lstm,10,7600,1.2726013752057364,1.6413840544524056,0.5576536158409435
seoul,temp_min,gru,10,7600,1.221745998852151,1.5747958144795395,0.5928161305362017
seoul,temp_min,tcn,10,7600,1.1006481581063647,1.427077804017594,0.6656222552562815
