Dataset,Target,Stage,KS Statistic,KS p-value,JSD,Wasserstein Distance,Mean (Original),Mean (Synthetic),Std (Original),Std (Synthetic)
Seattle,Temp Max,Before outlier removal,0.0957,0.0,0.3851,1.463,16.9993,18.0144,7.3496,8.5624
Seattle,Temp Max,After outlier removal,0.0877,0.0001,0.3832,1.2831,16.9993,17.9706,7.3496,8.3471
Seattle,Temp Max,After standardisation,0.0877,0.0001,0.3832,0.1746,0.0,0.1321,1.0,1.1357
Seattle,Temp Max,After Yeo-Johnson transformation,0.0877,0.0001,0.3838,0.1669,0.0,0.1172,1.0,1.1284
Seattle,Temp Min,Before outlier removal,0.2825,0.0,0.5568,3.0012,8.6959,10.1552,4.9675,7.5602
Seattle,Temp Min,After outlier removal,0.2892,0.0,0.5543,2.9562,8.6959,10.3829,4.9675,7.3571
Seattle,Temp Min,After standardisation,0.2892,0.0,0.5543,0.5951,-0.0,0.3396,1.0,1.481
Seattle,Temp Min,After Yeo-Johnson transformation,0.2892,0.0,0.568,0.6455,0.0,0.4482,1.0,1.4829
Seoul,Temp Max,Before outlier removal,0.1675,0.0,0.214,0.9637,30.4405,29.4868,3.1028,2.8121
Seoul,Temp Max,After outlier removal,0.1738,0.0,0.2174,0.9593,30.4405,29.5027,3.1028,2.742
Seoul,Temp Max,After standardisation,0.1738,0.0,0.2174,0.3092,0.0,-0.3022,1.0,0.8837
Seoul,Temp Max,After Yeo-Johnson transformation,0.1738,0.0,0.228,0.3227,-0.0,-0.3175,1.0,0.8385
Seoul,Temp Min,Before outlier removal,0.1003,0.0,0.1753,0.3586,23.1131,23.3613,2.4392,2.1153
Seoul,Temp Min,After outlier removal,0.1073,0.0,0.1807,0.4185,23.1131,23.4007,2.4392,2.024
Seoul,Temp Min,After standardisation,0.1073,0.0,0.1794,0.1716,-0.0,0.1179,1.0,0.8298
Seoul,Temp Min,After Yeo-Johnson transformation,0.1073,0.0,0.1837,0.1634,-0.0,0.0999,1.0,0.8431
