dataset,target,workflow,n_folds,n_samples,MAE,RMSE,R2
seattle,temp_max,TCN,10,1455,2.4407110054417163,3.0979846291473394,0.8223466707968479
seattle,temp_max,TCN + CTGAN,10,1455,2.5812114505418595,3.282109987483485,0.8006018637830654
seattle,temp_max,TCN + CTGAN (processed),10,1455,2.3974846364023135,3.038924169439511,0.8290557253848168
seattle,temp_min,TCN,10,1455,1.7043210515195562,2.1659964780820853,0.8137552800082517
seattle,temp_min,TCN + CTGAN,10,1455,1.8566236177199487,2.4039030419465175,0.7705952684034694
seattle,temp_min,TCN + CTGAN (processed),10,1455,1.66357875352833,2.135950601407189,0.8188864738467758
seoul,temp_max,TCN,10,7600,1.9759818441742345,2.447420005742124,0.3918211097885036
seoul,temp_max,TCN + CTGAN,10,7600,1.9876466328850702,2.4666956390577806,0.38220347328577364
seoul,temp_max,TCN + CTGAN (processed),10,7600,1.87165784298038,2.3503538700959465,0.43910594128175295
seoul,temp_min,TCN,10,7600,1.1006481581063647,1.427077804017594,0.6656222552562815
seoul,temp_min,TCN + CTGAN,10,7600,1.1297868322839861,1.4592345988328197,0.6503831962181155
seoul,temp_min,TCN + CTGAN (processed),10,7600,1.0735054043361774,1.3873908683057026,0.683961694319609
